,final_columns
0,LowerTailFraction_sort_False_cutoff_0.20__WeightedFFTData/LowerTailFraction_sort_True_cutoff_0.01__RegressionResidualData
1,LowerTailFraction_sort_True_cutoff_0.05__TheilSenRegressorData*LowerTailFraction_sort_True_cutoff_0.25__TheilSenRegressorData
2,LowerTailFraction_sort_False_cutoff_0.20__WeightedFFTData*LowerTailFraction_sort_True_cutoff_0.01__RegressionResidualData
3,LowerTailFraction_sort_False_cutoff_0.05__WeightedFFTData/LowerTailFraction_sort_False_cutoff_0.20__WeightedFFTData
4,LowerTailFraction_sort_True_cutoff_0.05__TheilSenRegressorData
5,UpperTailFraction_sort_True_cutoff_0.10__TheilSenRegressorData/UpperTailFraction_sort_True_cutoff_0.25__RANSACResidualData
6,std__FFTDataAboveIndex_idx1
7,UpperTailFraction_sort_True_cutoff_0.25__RANSACResidualData*UpperTailFraction_sort_True_cutoff_0.01__TheilSenRegressorData
