,137
d,0.45819397993311034
c00,198.0
c01,53.0
c10,32.0
c11,117.0
precision,0.6882352941176471
specificity,0.7888446215139442
recall,0.785234899328859
balanced_accuracy,0.7870397604214017
fpr,0.21115537848605578
tpr,0.785234899328859
